Tumor_Sample_Barcode	total	total_perMB	total_perMB_log	group
TCGA-EB-A4IQ-01	7	0.18421052631578946	-0.7346855566025533	Primary
TCGA-EB-A4OZ-01	10	0.2631578947368421	-0.5797835966168102	Primary
TCGA-FR-A2OS-01	13	0.34210526315789475	-0.4658402443099734	Primary
TCGA-EB-A3XE-01	19	0.5	-0.3010299956639812	Primary
TCGA-D3-A5GT-01	23	0.6052631578947368	-0.21805576059921727	Primary
TCGA-D9-A4Z2-01	23	0.6052631578947368	-0.21805576059921727	Primary
TCGA-EB-A5SF-01	26	0.6842105263157895	-0.16481024864599217	Primary
TCGA-EB-A3HV-01	38	1	0	Primary
TCGA-EB-A5VU-01	41	1.0789473684210527	0.033000260102925345	Primary
TCGA-EB-A4OY-01	51	1.3421052631578947	0.1277865794811262	Primary
TCGA-EB-A57M-01	52	1.368421052631579	0.136219747017989	Primary
TCGA-ER-A2NF-01	53	1.394736842105263	0.14449227298397885	Primary
TCGA-ER-A42H-01	54	1.4210526315789473	0.15261016320615833	Primary
TCGA-D9-A4Z5-01	64	1.6842105263157894	0.226396377367077	Primary
TCGA-EB-A42Y-01	64	1.6842105263157894	0.226396377367077	Primary
TCGA-ER-A2NB-01	67	1.763157894736842	0.24629120608401625	Primary
TCGA-BF-A3DN-01	69	1.8157894736842106	0.25906549412044516	Primary
TCGA-EB-A42Z-01	91	2.3947368421052633	0.3792577957042835	Primary
TCGA-GF-A769-01	118	3.1052631578947367	0.4920984106893152	Primary
TCGA-BF-A3DJ-01	120	3.1578947368421053	0.49939764943081466	Primary
TCGA-EB-A44N-01	123	3.236842105263158	0.5101215148225878	Primary
TCGA-D9-A3Z4-01	124	3.263157894736842	0.5136380885454249	Primary
TCGA-BF-A5EP-01	140	3.6842105263157894	0.5663444390614278	Primary
TCGA-EB-A4P0-01	150	3.9473684210526314	0.5963076624388711	Primary
TCGA-BF-A5ER-01	156	4.105263157894737	0.6133410017376515	Primary
TCGA-FW-A5DX-01	157	4.131578947368421	0.6161160557924236	Primary
TCGA-ER-A19T-01	213	5.605263157894737	0.7485960068219276	Primary
TCGA-EB-A6QZ-01	224	5.894736842105263	0.7704644217173526	Primary
TCGA-EB-A5SE-01	225	5.921052631578948	0.7723989214945524	Primary
TCGA-ER-A196-01	244	6.421052631578948	0.8076062297219193	Primary
TCGA-BF-A1PV-01	251	6.605263157894737	0.819890124864228	Primary
TCGA-EB-A44P-01	271	7.131578947368421	0.8531856942575956	Primary
TCGA-GN-A4U5-01	272	7.157894736842105	0.8547853074173886	Primary
TCGA-EB-A553-01	276	7.2631578947368425	0.8611254854484076	Primary
TCGA-EB-A551-01	285	7.5	0.8750612633917001	Primary
TCGA-EB-A1NK-01	292	7.684210526315789	0.8855992548316082	Primary
TCGA-EB-A24C-01	305	8.026315789473685	0.9045162427299758	Primary
TCGA-EB-A6R0-01	311	8.18421052631579	0.9129767924100274	Primary
TCGA-EB-A3XD-01	314	8.263157894736842	0.9171460514564048	Primary
TCGA-EB-A41B-01	319	8.394736842105264	0.924007086440371	Primary
TCGA-EB-A3XF-01	321	8.447368421052632	0.926721435788062	Primary
TCGA-EB-A5FP-01	322	8.473684210526315	0.9280722750790207	Primary
TCGA-EB-A3XC-01	326	8.578947368421053	0.9334340034511289	Primary
TCGA-FR-A3R1-01	326	8.578947368421053	0.9334340034511289	Primary
TCGA-FR-A728-01	328	8.631578947368421	0.936090247094869	Primary
TCGA-EB-A430-01	341	8.973684210526315	0.9529707823756876	Primary
TCGA-BF-A3DL-01	364	9.578947368421053	0.9813177870322458	Primary
TCGA-BF-A3DM-01	374	9.842105263157896	0.99308800558367	Primary
TCGA-ER-A19K-01	381	10.026315789473685	1.001141379058809	Primary
TCGA-GF-A2C7-01	381	10.026315789473685	1.001141379058809	Primary
TCGA-EB-A4XL-01	384	10.105263157894736	1.0045476277507206	Primary
TCGA-EB-A44O-01	406	10.68421052631579	1.028742436960384	Primary
TCGA-BF-A5ES-01	407	10.710526315789474	1.02981081260841	Primary
TCGA-EB-A3XB-01	416	10.947368421052632	1.0393097340099327	Primary
TCGA-EB-A4IS-01	438	11.526315789473685	1.0616905138872894	Primary
TCGA-GN-A263-01	460	12.105263157894736	1.082974235064764	Primary
TCGA-EB-A5UM-01	469	12.342105263157896	1.091389246098273	Primary
TCGA-EB-A3Y6-01	486	12.789473684210526	1.1068526726454833	Primary
TCGA-BF-A5EQ-01	492	12.947368421052632	1.1121815061505502	Primary
TCGA-EB-A6QY-01	498	13.105263157894736	1.1174457461429073	Primary
TCGA-BF-A5EO-01	511	13.447368421052632	1.1286373035179025	Primary
TCGA-GN-A269-01	575	15.131578947368421	1.1798842480728204	Primary
TCGA-EB-A299-01	579	15.236842105263158	1.1828949671106261	Primary
TCGA-FS-A1ZN-01	650	17.105263157894736	1.2331297600260454	Primary
TCGA-D9-A4Z3-01	672	17.68421052631579	1.2475856764370152	Primary
TCGA-EB-A24D-01	681	17.92105263157895	1.253363515295975	Primary
TCGA-BF-A1PX-01	682	17.94736842105263	1.2540007780396687	Primary
TCGA-EB-A3Y7-01	919	24.18421052631579	1.383531914769301	Primary
TCGA-ER-A194-01	1108	29.157894736842106	1.4647561637756008	Primary
TCGA-IH-A3EA-01	1237	32.55263157894737	1.5125861030123104	Primary
TCGA-EB-A431-01	1364	35.89473684210526	1.55503077370365	Primary
TCGA-BF-A1PU-01	1398	36.78947368421053	1.5657235747928524	Primary
TCGA-EB-A41A-01	1508	39.68421052631579	1.598617744916945	Primary
TCGA-BF-A1PZ-01	1590	41.8421052631579	1.6216135277036414	Primary
TCGA-GN-A26C-01	2411	63.44736842105263	1.8024136137606435	Primary
TCGA-BF-A1Q0-01	2582	67.94736842105263	1.8321726413135913	Primary
TCGA-FR-A726-01	5748	151.26315789473685	2.1797331628453778	Primary
TCGA-D3-A8GE-06	6	0.15789473684210525	-0.8016323462331666	Metastatic
TCGA-RP-A690-06	15	0.39473684210526316	-0.40369233756112893	Metastatic
TCGA-EB-A6L9-06	17	0.4473684210526316	-0.34933467523853623	Metastatic
TCGA-ER-A3ES-06	21	0.5526315789473685	-0.25756430188289087	Metastatic
TCGA-EE-A20I-06	22	0.5789473684210527	-0.23736091579460392	Metastatic
TCGA-D3-A51K-06	23	0.6052631578947368	-0.21805576059921727	Metastatic
TCGA-D3-A51H-06	28	0.7368421052631579	-0.13262556527459096	Metastatic
TCGA-D3-A1Q9-06	30	0.7894736842105263	-0.10266234189714771	Metastatic
TCGA-FR-A7U8-06	30	0.7894736842105263	-0.10266234189714771	Metastatic
TCGA-EB-A5KH-06	35	0.9210526315789473	-0.035715552266534535	Metastatic
TCGA-FS-A4F4-06	38	1	0	Metastatic
TCGA-EB-A44Q-06	41	1.0789473684210527	0.033000260102925345	Metastatic
TCGA-ER-A197-06	44	1.1578947368421053	0.0636690798693773	Metastatic
TCGA-FW-A3I3-06	45	1.1842105263157894	0.07342891715853349	Metastatic
TCGA-EB-A44R-06	46	1.2105263157894737	0.08297423506476391	Metastatic
TCGA-GN-A8LL-06	46	1.2105263157894737	0.08297423506476391	Metastatic
TCGA-FS-A1YX-06	49	1.2894736842105263	0.11041248341170351	Metastatic
TCGA-RP-A6K9-06	49	1.2894736842105263	0.11041248341170351	Metastatic
TCGA-FS-A1ZH-06	54	1.4210526315789473	0.15261016320615833	Metastatic
TCGA-GN-A4U9-06	58	1.5263157894736843	0.18364439694612714	Metastatic
TCGA-ER-A19L-06	59	1.5526315789473684	0.191068415025334	Metastatic
TCGA-D3-A3MO-06	61	1.605263157894737	0.20554623839395691	Metastatic
TCGA-WE-AA9Y-06	61	1.605263157894737	0.20554623839395691	Metastatic
TCGA-D3-A3BZ-06	62	1.631578947368421	0.21260809288144372	Metastatic
TCGA-YG-AA3P-06	64	1.6842105263157894	0.226396377367077	Metastatic
TCGA-D9-A6EG-06	65	1.7105263157894737	0.2331297600260454	Metastatic
TCGA-WE-A8ZM-06	72	1.894736842105263	0.2775488998144583	Metastatic
TCGA-D3-A1Q7-06	76	2	0.3010299956639812	Metastatic
TCGA-ER-A3EV-06	78	2.0526315789473686	0.3123110060736703	Metastatic
TCGA-D3-A51N-06	83	2.1842105263157894	0.33929449575926374	Metastatic
TCGA-D3-A3CC-06	86	2.263157894736842	0.35471485462675756	Metastatic
TCGA-EB-A5SH-06	88	2.3157894736842106	0.3646990755333585	Metastatic
TCGA-ER-A3ET-06	88	2.3157894736842106	0.3646990755333585	Metastatic
TCGA-D3-A8GD-06	97	2.5526315789473686	0.4069881376494347	Metastatic
TCGA-ER-A2ND-06	100	2.6315789473684212	0.4202164033831899	Metastatic
TCGA-D3-A51F-06	101	2.6578947368421053	0.4245377771658324	Metastatic
TCGA-D3-A3CF-06	102	2.6842105263157894	0.4288165751451074	Metastatic
TCGA-FR-A8YD-06	104	2.736842105263158	0.4372497426819702	Metastatic
