gene1	gene2	pValue	oddsRatio	00	01	11	10	pAdj	Event	pair	event_ratio
NRAS	BRAF	2.947984653335072e-27	0.054941480370336866	74	175	13	101	8.773763849211595e-26	Mutually_Exclusive	BRAF, NRAS	13/276
RASA2	APC	2.9641461766303085e-6	7.061808898129408	292	41	15	15	6.388246070323942e-5	Co_Occurence	APC, RASA2	15/56
RASA2	NF1	3.998260359047501e-6	6.572170885700399	284	49	16	14	8.061008788402219e-5	Co_Occurence	NF1, RASA2	16/63
TP53	CDKN2A	1.810488009461724e-4	3.505784283330009	265	35	20	43	0.0034289545633744843	Co_Occurence	CDKN2A, TP53	20/78
RASA2	RAC1	4.6918923572502306e-4	6.304735595558351	315	18	8	22	0.008378379209375428	Co_Occurence	RAC1, RASA2	8/40
PREX2	RASA2	5.048480870883755e-4	4.0506641374283365	260	14	16	73	0.008527839308925268	Co_Occurence	PREX2, RASA2	16/87
CDKN2A	PREX2	9.898336505404922e-4	2.8842066381269746	243	65	24	31	0.01586271875866175	Co_Occurence	CDKN2A, PREX2	24/96
RASA2	NRAS	0.0015944500180956704	0.1414238246330263	221	112	2	28	0.024305640519751075	Mutually_Exclusive	NRAS, RASA2	2/140
TP53	RASA2	0.0018302157982651261	3.668273564448186	282	18	12	51	0.02660197381199314	Co_Occurence	RASA2, TP53	12/69
PTEN	BRAF	0.003399659644790386	3.3400030109382	167	162	26	8	0.047217495066533145	Co_Occurence	BRAF, PTEN	26/170
NF1	CDKN2A	0.0036601257922815864	2.692272562655598	261	37	18	47	0.048671885535659494	Co_Occurence	CDKN2A, NF1	18/84
ARID2	NF1	0.004624044528338278	2.6552213230306365	258	46	19	40	0.05898015980023315	Co_Occurence	ARID2, NF1	19/86
NF1	MITF	0.005772055910110657	8.122385384700037	295	3	5	60	0.07073597929057199	Co_Occurence	MITF, NF1	5/63
GNA11	SNX31	0.006580555489984763	7.291237343798249	332	15	4	12	0.07760089021208454	Co_Occurence	GNA11, SNX31	4/27
PREX2	APC	0.007006182014022568	2.311674301242871	240	34	22	67	0.07792550737422485	Co_Occurence	APC, PREX2	22/101
KIT	RASA2	0.007106806272529306	4.614075280947845	316	24	6	17	0.07792550737422485	Co_Occurence	KIT, RASA2	6/41
BRAF	NF1	0.0092162552130613	0.479257586774781	134	41	24	164	0.09599004354349318	Mutually_Exclusive	BRAF, NF1	24/205
PREX2	TP53	0.009368628249844914	2.2193050545984043	235	39	24	65	0.09599004354349318	Co_Occurence	PREX2, TP53	24/104
TP53	NF1	0.010340853097990762	2.377551333499815	254	46	19	44	0.10258782835308296	Co_Occurence	NF1, TP53	19/90
RASA2	SNX31	0.01397434503825272	4.5249307317386345	319	14	5	25	0.13436870229089165	Co_Occurence	RASA2, SNX31	5/39
NRAS	KIT	0.018124519053577138	0.19451461884128307	228	21	2	112	0.16907200609680187	Mutually_Exclusive	KIT, NRAS	2/133
NF1	CCND1	0.01924449496418077	14.215990734482274	297	1	3	62	0.1743160775741025	Co_Occurence	CCND1, NF1	3/63
BRAF	APC	0.02068722734168303	2.008067323917601	156	19	37	151	0.17679649717740856	Co_Occurence	APC, BRAF	37/170
CDK4	TP53	0.02072984160810611	3.8222284511786655	292	57	6	8	0.17679649717740856	Co_Occurence	CDK4, TP53	6/65
APC	TP53	0.021215579661289015	2.207044105975164	260	47	16	40	0.17679649717740856	Co_Occurence	APC, TP53	16/87
PREX2	MITF	0.023769668335416397	5.345473667881939	271	3	5	84	0.19293561960565295	Co_Occurence	MITF, PREX2	5/87
APC	GNAQ	0.024569669245665435	4.177476730368343	300	7	5	51	0.19438029466507495	Co_Occurence	APC, GNAQ	5/58
RASA2	CDKN2A	0.02959850669963301	2.66464093264397	287	46	9	21	0.22454316101147773	Co_Occurence	CDKN2A, RASA2	9/67
TP53	SNX31	0.03046780685409661	2.987994147513436	288	12	7	56	0.22454316101147773	Co_Occurence	SNX31, TP53	7/68
ARID2	GNA11	0.030537869897560927	3.3131279931528796	294	10	6	53	0.22454316101147773	Co_Occurence	ARID2, GNA11	6/63
NF1	RAC1	0.03138197354963656	2.647399454929576	281	17	9	56	0.22544521228187217	Co_Occurence	NF1, RAC1	9/73
SNX31	PPP6C	0.033561689087929905	4.074961632680721	323	21	4	15	0.23568601887591223	Co_Occurence	PPP6C, SNX31	4/36
APC	NF1	0.03541659280936502	2.1010844047816826	258	49	16	40	0.24013184321662576	Co_Occurence	APC, NF1	16/89
CCND1	RASA2	0.03573161827063387	11.637037164022644	331	28	2	2	0.24013184321662576	Co_Occurence	CCND1, RASA2	2/30
PREX2	NF1	0.037514072306508627	1.921163920969563	232	42	23	66	0.24680310727966223	Co_Occurence	NF1, PREX2	23/108
GNAQ	MAP2K2	0.038948112679751165	8.445657921534226	343	8	2	10	0.2509543342767474	Co_Occurence	GNAQ, MAP2K2	2/18
