gene1	gene2	pValue	oddsRatio	00	01	11	10	pAdj	Event	pair	event_ratio
NRAS	BRAF	1.9310164944060292e-5	0	21	45	0	11	5.107538627703957e-4	Mutually_Exclusive	BRAF, NRAS	0/56
NF1	CTNNB1	0.00609632188579556	25.820303346135972	66	1	3	7	0.14658883079935717	Co_Occurence	CTNNB1, NF1	3/8
KIT	BRAF	0.01835676268487989	0.10125534575611554	26	44	1	6	0.33485267104487837	Mutually_Exclusive	BRAF, KIT	1/50
RAC1	GNA11	0.03896103896103894	Inf	74	0	1	2	0.562055913407264	Co_Occurence	GNA11, RAC1	1/2
RAC1	PIK3CA	0.03896103896103894	Inf	74	0	1	2	0.562055913407264	Co_Occurence	PIK3CA, RAC1	1/2
ARID2	APC	0.03927342168149665	7.972489453264092	61	2	3	11	0.562055913407264	Co_Occurence	APC, ARID2	3/13
CTNNB1	KIT	0.03931203931203924	12.597526786233232	68	5	2	2	0.562055913407264	Co_Occurence	CTNNB1, KIT	2/7
MITF	CTNNB1	0.051948051948051965	Inf	73	3	1	0	0.704628704628706	Co_Occurence	CTNNB1, MITF	1/3
KIT	MAP2K1	0.06258465321190627	8.440020456871451	67	3	2	5	0.7970957697273491	Co_Occurence	KIT, MAP2K1	2/8
APC	PIK3CA	0.06493506493506486	Inf	72	0	1	4	0.7970957697273491	Co_Occurence	APC, PIK3CA	1/4
RAC1	BRAF	0.06780587833219408	0	29	45	0	3	0.7970957697273491	Mutually_Exclusive	BRAF, RAC1	0/48
APC	TP53	0.08114733334632397	6.994048613233695	66	6	2	3	0.8319201949986456	Co_Occurence	APC, TP53	2/9
MAP2K1	TP53	0.08114733334632397	6.994048613233695	66	6	2	3	0.8319201949986456	Co_Occurence	MAP2K1, TP53	2/9
BRAF	NF1	0.08299842926886977	0.25983036311652064	25	7	3	42	0.8319201949986456	Mutually_Exclusive	BRAF, NF1	3/49
ARID2	RAC1	0.08334928229665055	9.86089777971698	62	1	2	12	0.8319201949986456	Co_Occurence	ARID2, RAC1	2/13
KIT	GNA11	0.09090909090909075	Inf	70	0	1	6	0.8455544455544457	Co_Occurence	GNA11, KIT	1/6
RASA2	PREX2	0.09546840073155859	6.815643587435889	64	9	2	2	0.8455544455544457	Co_Occurence	PREX2, RASA2	2/11
RB1	PREX2	0.09546840073155859	6.815643587435889	64	9	2	2	0.8455544455544457	Co_Occurence	PREX2, RB1	2/11
APC	PTEN	0.10143945572928986	5.945025170525196	65	7	2	3	0.8455544455544457	Co_Occurence	APC, PTEN	2/10
TP53	MITF	0.10389610389610374	Inf	69	0	1	7	0.8455544455544457	Co_Occurence	MITF, TP53	1/7
TP53	PIK3CA	0.10389610389610374	Inf	69	0	1	7	0.8455544455544457	Co_Occurence	PIK3CA, TP53	1/7
APC	NF1	0.1232609476300896	5.150505049495723	64	8	2	3	0.967623925370405	Co_Occurence	APC, NF1	2/11
GNA11	NF1	0.12987012987012986	Inf	67	9	1	0	0.967623925370405	Co_Occurence	GNA11, NF1	1/9
MITF	NF1	0.12987012987012986	Inf	67	9	1	0	0.967623925370405	Co_Occurence	MITF, NF1	1/9
RASA2	BRAF	0.13667214719846296	Inf	32	41	4	0	0.9904050118902318	Co_Occurence	BRAF, RASA2	4/41
PREX2	GNA11	0.14285714285714282	Inf	66	0	1	10	1	Co_Occurence	GNA11, PREX2	1/10
PREX2	NF1	0.1485523450951602	3.098753295962665	59	7	3	8	1	Co_Occurence	NF1, PREX2	3/15
RAC1	CDKN2A	0.14974709501025282	10.883930398934961	71	3	1	2	1	Co_Occurence	CDKN2A, RAC1	1/5
TP53	ARID2	0.1539936904909437	3.1027729545048532	58	11	3	5	1	Co_Occurence	ARID2, TP53	3/16
GNA11	ARID2	0.18181818181818185	Inf	63	13	1	0	1	Co_Occurence	ARID2, GNA11	1/13
MITF	ARID2	0.18181818181818185	Inf	63	13	1	0	1	Co_Occurence	ARID2, MITF	1/13
PIK3CA	ARID2	0.18181818181818185	Inf	63	13	1	0	1	Co_Occurence	ARID2, PIK3CA	1/13
SNX31	ARID2	0.18181818181818185	Inf	63	13	1	0	1	Co_Occurence	ARID2, SNX31	1/13
APC	GNAQ	0.18468899521531093	8.213455055849566	70	2	1	4	1	Co_Occurence	APC, GNAQ	1/6
MAP2K1	GNAQ	0.18468899521531093	8.213455055849566	70	2	1	4	1	Co_Occurence	GNAQ, MAP2K1	1/6
PPP6C	MAP2K2	0.18468899521531093	8.213455055849566	70	2	1	4	1	Co_Occurence	MAP2K2, PPP6C	1/6
APC	RAC1	0.18468899521531093	8.213455055849566	70	2	1	4	1	Co_Occurence	APC, RAC1	1/6
KIT	NF1	0.22338710452077024	3.038014169284403	62	8	2	5	1	Co_Occurence	KIT, NF1	2/13
CTNNB1	APC	0.23977757661968194	5.506252929974097	69	4	1	3	1	Co_Occurence	APC, CTNNB1	1/7
RB1	MAP2K1	0.23977757661968194	5.506252929974097	69	4	1	3	1	Co_Occurence	MAP2K1, RB1	1/7
KIT	GNAQ	0.2516746411483251	5.438547558780344	68	2	1	6	1	Co_Occurence	GNAQ, KIT	1/8
KIT	RAC1	0.2516746411483251	5.438547558780344	68	2	1	6	1	Co_Occurence	KIT, RAC1	1/8
MAP2K2	BRAF	0.26179084073820913	Inf	32	42	3	0	1	Co_Occurence	BRAF, MAP2K2	3/42
NF1	TP53	0.27674218894300734	2.5019452404882547	61	6	2	8	1	Co_Occurence	NF1, TP53	2/14
TP53	RAC1	0.28374572795625413	4.624576859444148	67	2	1	7	1	Co_Occurence	RAC1, TP53	1/9
PTEN	BRAF	0.2912462538897489	2.730246132691684	30	38	7	2	1	Co_Occurence	BRAF, PTEN	7/40
BRAF	CTNNB1	0.3016053647632594	0.22397171600024626	29	3	1	44	1	Mutually_Exclusive	BRAF, CTNNB1	1/47
MAP2K2	PTEN	0.31488721804511277	4.0074885758523155	66	8	1	2	1	Co_Occurence	MAP2K2, PTEN	1/10
PREX2	TP53	0.3199217597523801	2.1938461906728484	60	6	2	9	1	Co_Occurence	PREX2, TP53	2/15
PTEN	NRAS	0.34285252561698487	0	57	11	0	9	1	Mutually_Exclusive	NRAS, PTEN	0/20
RAC1	NF1	0.3451127819548872	3.5224035920762957	65	9	1	2	1	Co_Occurence	NF1, RAC1	1/11
ARID2	PTEN	0.3518069812473758	2.551505058120089	57	6	3	11	1	Co_Occurence	ARID2, PTEN	3/17
CTNNB1	TP53	0.3611786222312538	3.0746909171674766	66	7	1	3	1	Co_Occurence	CTNNB1, TP53	1/10
RASA2	TP53	0.3611786222312538	3.0746909171674766	66	7	1	3	1	Co_Occurence	RASA2, TP53	1/10
RB1	TP53	0.3611786222312538	3.0746909171674766	66	7	1	3	1	Co_Occurence	RB1, TP53	1/10
NRAS	RAC1	0.37443609022556384	3.132410989994517	64	2	1	10	1	Co_Occurence	NRAS, RAC1	1/12
PREX2	RAC1	0.37443609022556384	3.132410989994517	64	2	1	10	1	Co_Occurence	PREX2, RAC1	1/12
ARID2	NF1	0.3766771321726458	2.155696128284889	56	7	3	11	1	Co_Occurence	ARID2, NF1	3/18
APC	BRAF	0.39524486892907934	2.986839213297604	31	41	4	1	1	Co_Occurence	APC, BRAF	4/42
MAP2K1	BRAF	0.39524486892907934	2.986839213297604	31	41	4	1	1	Co_Occurence	BRAF, MAP2K1	4/42
PPP6C	BRAF	0.39524486892907934	2.986839213297604	31	41	4	1	1	Co_Occurence	BRAF, PPP6C	4/42
CDKN2A	PTEN	0.3982117455801666	2.6602729687381124	65	8	1	3	1	Co_Occurence	CDKN2A, PTEN	1/11
CTNNB1	PTEN	0.3982117455801666	2.6602729687381124	65	8	1	3	1	Co_Occurence	CTNNB1, PTEN	1/11
ARID2	PREX2	0.4098740236803161	1.8576057289409882	55	8	3	11	1	Co_Occurence	ARID2, PREX2	3/19
GNA11	BRAF	0.4155844155844157	0	31	45	0	1	1	Mutually_Exclusive	BRAF, GNA11	0/46
MITF	BRAF	0.4155844155844157	0	31	45	0	1	1	Mutually_Exclusive	BRAF, MITF	0/46
PIK3CA	BRAF	0.4155844155844157	0	31	45	0	1	1	Mutually_Exclusive	BRAF, PIK3CA	0/46
TP53	PPP6C	0.4311864444524862	2.2880315920983008	65	4	1	7	1	Co_Occurence	PPP6C, TP53	1/11
NF1	CDKN2A	0.43361105466368605	2.33570966300098	64	3	1	9	1	Co_Occurence	CDKN2A, NF1	1/12
TP53	BRAF	0.45738307943492884	2.2846740342936087	30	39	6	2	1	Co_Occurence	BRAF, TP53	6/41
CDKN2A	NRAS	0.4674253200568991	2.0748009952616564	63	10	1	3	1	Co_Occurence	CDKN2A, NRAS	1/13
RB1	NRAS	0.4674253200568991	2.0748009952616564	63	10	1	3	1	Co_Occurence	NRAS, RB1	1/13
CDKN2A	PREX2	0.4674253200568991	2.0748009952616564	63	10	1	3	1	Co_Occurence	CDKN2A, PREX2	1/13
PPP6C	NRAS	0.5476762992264073	1.5399472157856964	62	10	1	4	1	Co_Occurence	NRAS, PPP6C	1/14
MAP2K1	PREX2	0.5476762992264073	1.5399472157856964	62	10	1	4	1	Co_Occurence	MAP2K1, PREX2	1/14
TP53	KIT	0.5513583223850596	1.4910253192479919	63	6	1	7	1	Co_Occurence	KIT, TP53	1/13
ARID2	CTNNB1	0.5598344756239492	1.52880018624543	60	3	1	13	1	Co_Occurence	ARID2, CTNNB1	1/16
ARID2	RB1	0.5598344756239492	1.52880018624543	60	3	1	13	1	Co_Occurence	ARID2, RB1	1/16
BRAF	GNAQ	0.5669172932330825	0.34574544431463233	30	2	1	44	1	Mutually_Exclusive	BRAF, GNAQ	1/46
ARID2	MAP2K1	0.5779234697763896	0	58	5	0	14	1	Mutually_Exclusive	ARID2, MAP2K1	0/19
NRAS	KIT	0.5843966309597878	0	59	7	0	11	1	Mutually_Exclusive	KIT, NRAS	0/18
NRAS	TP53	0.5928783323687719	0	58	8	0	11	1	Mutually_Exclusive	NRAS, TP53	0/19
KIT	ARID2	0.6044436148287808	1.9140436988035887	58	12	2	5	1	Co_Occurence	ARID2, KIT	2/17
NRAS	NF1	0.6288442171158186	1.5998643554163527	58	8	2	9	1	Co_Occurence	NF1, NRAS	2/17
CDKN2A	BRAF	0.6371469213574475	2.193588613925982	31	42	3	1	1	Co_Occurence	BRAF, CDKN2A	3/43
RB1	BRAF	0.6371469213574475	2.193588613925982	31	42	3	1	1	Co_Occurence	BRAF, RB1	3/43
NRAS	ARID2	0.6776622818421895	0.4115081733374283	53	13	1	10	1	Mutually_Exclusive	ARID2, NRAS	1/23
BRAF	PREX2	0.754520141682302	1.2852932903830627	28	4	7	38	1	Co_Occurence	BRAF, PREX2	7/42
ARID2	BRAF	0.7674566512612604	1.3448356912581516	27	36	9	5	1	Co_Occurence	ARID2, BRAF	9/41
GNA11	CDK4	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	CDK4, GNA11	0/2
MITF	CDK4	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	CDK4, MITF	0/2
PIK3CA	CDK4	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	CDK4, PIK3CA	0/2
SNX31	CDK4	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	CDK4, SNX31	0/2
MITF	GNA11	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	GNA11, MITF	0/2
PIK3CA	GNA11	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	GNA11, PIK3CA	0/2
SNX31	GNA11	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	GNA11, SNX31	0/2
PIK3CA	MITF	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	MITF, PIK3CA	0/2
SNX31	MITF	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	MITF, SNX31	0/2
SNX31	PIK3CA	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	PIK3CA, SNX31	0/2
APC	NRAS	0.9999999999999999	0	61	11	0	5	1	Mutually_Exclusive	APC, NRAS	0/16
MAP2K1	NRAS	0.9999999999999999	0	61	11	0	5	1	Mutually_Exclusive	MAP2K1, NRAS	0/16
APC	PREX2	0.9999999999999999	0	61	11	0	5	1	Mutually_Exclusive	APC, PREX2	0/16
PPP6C	PREX2	0.9999999999999999	0	61	11	0	5	1	Mutually_Exclusive	PPP6C, PREX2	0/16
CDK4	NF1	0.9999999999999999	0	66	10	0	1	1	Mutually_Exclusive	CDK4, NF1	0/11
PIK3CA	NF1	0.9999999999999999	0	66	10	0	1	1	Mutually_Exclusive	NF1, PIK3CA	0/11
SNX31	NF1	0.9999999999999999	0	66	10	0	1	1	Mutually_Exclusive	NF1, SNX31	0/11
CDKN2A	TP53	0.9999999999999999	0	65	8	0	4	1	Mutually_Exclusive	CDKN2A, TP53	0/12
PTEN	KIT	0.9999999999999999	1.2870228037999567	62	6	1	8	1	Co_Occurence	KIT, PTEN	1/14
CDK4	APC	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	APC, CDK4	0/6
GNA11	APC	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	APC, GNA11	0/6
